Date,Category,RefNo,Date,Withdrawal,Deposit,Balance
2023-02-23,Food,3.05E+11,2023-02-23,40,0,488.89
2023-02-23,Misc,3.42E+11,2023-02-23,400,0,88.89
2023-02-23,Food,3.05E+11,2023-02-23,30,0,58.89
2023-02-23,Food,3.05E+11,2023-02-23,40,0,18.89
2023-02-24,Salary,CHASS23053481613,2023-02-24,0,34800,34818.89
2023-02-24,Food,3.06E+11,2023-02-24,70,0,34748.89
2023-02-24,Food,3.06E+11,2023-02-24,40,0,34708.89
2023-02-24,Misc,3.06E+11,2023-02-24,799,0,33909.89
2023-02-24,Misc,3.42E+11,2023-02-24,180,0,33729.89
2023-02-24,Food,3.42E+11,2023-02-24,75,0,33654.89
2023-02-24,Misc,3.06E+11,2023-02-24,642,0,33012.89
2023-02-24,Food,3.42E+11,2023-02-24,12,0,33000.89
2023-02-25,Misc,3.42E+11,2023-02-25,10000,0,23000.89
2023-02-25,Misc,3.06E+11,2023-02-25,140,0,22860.89
2023-02-25,Food,3.42E+11,2023-02-25,20,0,22840.89
2023-02-25,Food,3.42E+11,2023-02-25,10,0,22830.89
2023-02-25,Food,3.42E+11,2023-02-25,40,0,22790.89
2023-02-25,Misc,3.42E+11,2023-02-25,500,0,22290.89
2023-02-25,Food,3.42E+11,2023-02-25,25,0,22265.89
2023-02-25,Misc,3.42E+11,2023-02-25,0,2000,24265.89
2023-02-25,Misc,3.42E+11,2023-02-25,4003,0,20262.89
2023-02-26,Food,3.06E+11,2023-02-26,34,0,20228.89
2023-02-26,Food,3.06E+11,2023-02-26,22,0,20206.89
2023-02-26,Food,3.06E+11,2023-02-26,10,0,20196.89
2023-02-26,Misc,3.06E+11,2023-02-26,0,3400,23596.89
2023-02-26,Food,3.42E+11,2023-02-26,20,0,23576.89
2023-02-26,Misc,3.06E+11,2023-02-26,4000,0,19576.89
2023-02-26,Shopping,3.06E+11,2023-02-26,251,0,19325.89
2023-02-26,Misc,3.42E+11,2023-02-26,1000,0,18325.89
2023-02-26,Shopping,3.42E+11,2023-02-26,429,0,17896.89
2023-02-26,Misc,3.06E+11,2023-02-26,2000,0,15896.89
2023-02-26,Misc,3.06E+11,2023-02-26,302,0,15594.89
2023-02-27,Shopping,3.06E+11,2023-02-27,299,0,15295.89
2023-02-27,Food,3.06E+11,2023-02-27,20,0,15275.89
2023-02-27,Food,3.42E+11,2023-02-27,40,0,15235.89
2023-02-27,Misc,3.06E+11,2023-02-27,570,0,14665.89
2023-02-27,Misc,3.06E+11,2023-02-27,306,0,14359.89
2023-02-27,Food,3.06E+11,2023-02-27,100,0,14259.89
2023-02-27,Misc,3.06E+11,2023-02-27,1315,0,12944.89
2023-02-27,Food,3.42E+11,2023-02-27,25,0,12919.89
2023-02-27,Food,3.42E+11,2023-02-27,20,0,12899.89
2023-02-28,Food,3.06E+11,2023-02-28,68,0,12831.89
2023-02-28,Food,3.43E+11,2023-02-28,65,0,12766.89
2023-02-28,Food,3.43E+11,2023-02-28,40,0,12726.89
2023-02-28,Misc,3.06E+11,2023-02-28,830,0,11896.89
2023-03-01,Food,3.43E+11,2023-03-01,60,0,11836.89
2023-03-01,Food,3.43E+11,2023-03-01,30,0,11806.89
2023-03-02,Food,3.43E+11,2023-03-02,28,0,11778.89
2023-03-02,Misc,3.43E+11,2023-03-02,110,0,11668.89
2023-03-02,Food,3.43E+11,2023-03-02,50,0,11618.89
2023-03-02,Misc,3.43E+11,2023-03-02,500,0,11118.89
2023-03-02,Food,3.43E+11,2023-03-02,30,0,11088.89
2023-03-03,Food,3.43E+11,2023-03-03,33,0,11055.89
